,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
1026,2020-01-11,8162.19,8218.36,8029.64,8037.54,8037.54,25521165085,BTC,,,,,,,177.65016809089138,79.6411340587843,98.00903403210708
1027,2020-01-12,8033.26,8200.06,8009.06,8192.49,8192.49,22903438381,BTC,,,,,,,199.08125466806086,103.52915818063963,95.55209648742124
1028,2020-01-13,8189.77,8197.79,8079.70,8144.19,8144.19,22482910688,BTC,,,,,,,209.75026831492505,124.77338020749673,84.97688810742832
1029,2020-01-14,8140.93,8879.51,8140.93,8827.76,8827.76,44841784107,BTC,,,,,,,270.24866626258336,153.86843741851408,116.38022884406928
1030,2020-01-15,8825.34,8890.12,8657.19,8807.01,8807.01,40102834650,BTC,,,,,,,312.9126684578996,185.67728362639122,127.23538483150838
1031,2020-01-16,8812.48,8846.46,8612.10,8723.79,8723.79,31313981931,BTC,,,,,,,336.13429218975307,215.7686853390636,120.36560685068946
1032,2020-01-17,8725.21,8958.12,8677.32,8929.04,8929.04,36372139320,BTC,,,,,,,366.87050118547995,245.98904850834688,120.88145267713307
1033,2020-01-18,8927.21,9012.20,8827.33,8942.81,8942.81,32337772627,BTC,,,,,,,387.86917773557434,274.3650743537924,113.50410338178193
1034,2020-01-19,8941.45,9164.36,8620.08,8706.25,8706.25,34217320471,BTC,,,,,,,381.030087537094,295.69807699045276,85.33201054664124
1035,2020-01-20,8704.63,8745.59,8560.47,8657.64,8657.64,26422375678,BTC,,,,,,,367.45188196806157,310.04883798597456,57.40304398208701
1036,2020-01-21,8658.99,8755.71,8544.52,8745.89,8745.89,24097418512,BTC,,,,,,,359.6660869271609,319.97228777421185,39.693799152949055
1037,2020-01-22,8744.21,8792.99,8636.75,8680.88,8680.88,22600204051,BTC,,,,,,,344.28136332614486,324.83410288459845,19.447260441546405
1038,2020-01-23,8680.65,8687.75,8333.64,8406.52,8406.52,25770680779,BTC,,,,,,,306.4181028031144,321.15090286830167,-14.732800065187291
1039,2020-01-24,8405.57,8514.67,8266.84,8445.43,8445.43,24397913026,BTC,,,,,,,276.3651425323278,312.19375080110694,-35.828608268779135
1040,2020-01-25,8440.12,8458.45,8296.22,8367.85,8367.85,19647331549,BTC,,,,,,,243.48119767593016,298.4512401760716,-54.97004250014146
1041,2020-01-26,8364.41,8602.40,8325.50,8596.83,8596.83,22177678796,BTC,,,,,,,233.20891953857063,285.4027760485714,-52.193856510000785
1042,2020-01-27,8597.31,8977.73,8597.31,8909.82,8909.82,28647338393,BTC,,,,,,,247.47105011997337,277.8164308628518,-30.345380742878433
